ds,yhat,yhat_lower,yhat_upper
2025-05-01,2344.0116031614784,1346.1092259529473,3315.9864238719465
2025-05-02,2342.2425994709383,1342.6075363777688,3306.5606269229283
2025-05-03,2340.971551586134,1324.66359110384,3299.688590697761
2025-05-04,2340.500822698728,1326.4003553140803,3331.459714382522
2025-05-05,2340.6016977342074,1339.2784089750087,3291.8445317364835
2025-05-06,2340.9125277799903,1314.750393590118,3288.698492411401
2025-05-07,2341.3890943344236,1337.8872222401205,3308.023162636469
2025-05-08,2342.3135696531467,1328.3078902164034,3276.234018070441
2025-05-09,2343.849042500336,1345.7164332925822,3295.684008354078
2025-05-10,2345.627180485405,1325.4933528682757,3297.0622520102556
2025-05-11,2346.8610692146326,1306.3194656597905,3291.276890192946
2025-05-12,2346.960130543516,1288.5305987931597,3334.2508449093502
2025-05-13,2346.0921273611657,1326.7399190847602,3311.6441439371215
2025-05-14,2345.1281412342205,1262.9433507085205,3345.4721200380122
2025-05-15,2344.959474131868,1302.14492304849,3305.7691131299202
2025-05-16,2345.77480077228,1303.3257785287951,3307.3756087541155
2025-05-17,2346.9503420651595,1255.9390345228855,3336.4089877150914
2025-05-18,2347.6542697629343,1289.5199708207604,3350.4083076899396
2025-05-19,2347.608910552049,1284.6340723991186,3345.1644602166543
2025-05-20,2347.311673661119,1286.3157104318675,3349.060720653667
2025-05-21,2347.5262463291015,1282.6237087670222,3307.473472310754
2025-05-22,2348.5384851059857,1264.9039924900364,3376.462989072914
2025-05-23,2349.8821175351854,1259.6352133897306,3365.4655222560896
2025-05-24,2350.7832878729014,1225.0019918638557,3360.4997356622794
2025-05-25,2350.8889295519307,1255.2987937096739,3366.2657387186805
2025-05-26,2350.5826190821276,1265.0347498465903,3366.86836038437
2025-05-27,2350.594556259293,1243.3565722048775,3372.1394856997877
2025-05-28,2351.28670705516,1226.798992795262,3382.1594065374506
2025-05-29,2352.2950894039213,1257.6685555806284,3375.503309800811
2025-05-30,2352.8603372247976,1235.0710657394518,3344.68241438649
2025-05-31,2352.5225306849975,1217.491617605204,3362.947252657677
2025-06-01,2351.5264085225135,1258.9259249055658,3377.775596773962
2025-06-02,2350.5819380154153,1212.3490653888907,3392.264688341664
2025-06-03,2350.246455766587,1248.81509679762,3372.3786778897684
2025-06-04,2350.531289289968,1163.9556933950225,3367.362043493926
2025-06-05,2351.0743708572545,1196.3984482058042,3405.589264238984
2025-06-06,2351.6388952375687,1208.961617012447,3416.405257650579
2025-06-07,2352.382284642898,1171.339545994402,3424.90811054822
2025-06-08,2353.6009481523474,1242.1786583040532,3399.8047772544946
2025-06-09,2355.2247690260656,1220.4508333727292,3384.609880002525
2025-06-10,2356.629697963766,1205.47504536636,3412.103634796646
2025-06-11,2357.0448365065886,1186.4219290567423,3411.5395346868013
2025-06-12,2356.2265751836608,1198.1764282416923,3414.3477973864256
2025-06-13,2354.7568731201936,1168.6603546076096,3395.6395072893365
2025-06-14,2353.6308633633257,1196.7197514681773,3410.5697548027138
2025-06-15,2353.459290262357,1173.5990593950166,3419.07618972555
2025-06-16,2353.9942915294305,1213.4007837772701,3413.651168563945
2025-06-17,2354.4110046329038,1184.9970888659846,3420.6172209558827
2025-06-18,2354.086416833968,1158.204906400108,3410.5637460574485
2025-06-19,2353.1585217738934,1139.9687726773373,3431.8404752762817
2025-06-20,2352.358921223221,1141.3268460386382,3398.292257640939
2025-06-21,2352.294797564588,1145.1598460573657,3451.697944247407
2025-06-22,2352.8671060197557,1147.6093207829397,3438.47070891125
2025-06-23,2353.3703696135663,1125.9051350638244,3453.2605095151735
2025-06-24,2353.1659828327556,1116.7037998741764,3441.6898459872123
2025-06-25,2352.2800530116187,1187.342258161608,3429.564379325164
2025-06-26,2351.3594385675215,1121.3689470055147,3440.66885699887
2025-06-27,2351.037926051803,1154.106684039482,3454.921463376263
2025-06-28,2351.322739726839,1142.344506279735,3472.909682773978
2025-06-29,2351.581015729009,1130.9875145801182,3451.093440880598
2025-06-30,2351.1277727535958,1118.4884778957824,3446.937676600873
2025-07-01,2349.8529774247295,1132.2480749284014,3451.3705380025317
2025-07-02,2348.3104098773147,1128.6647945202906,3464.239270123295
2025-07-03,2347.221515186085,1096.4413772211703,3440.0219004159208
2025-07-04,2346.897072483705,1086.855586228779,3472.3108033280646
2025-07-05,2347.1195549693307,1148.6698108708274,3483.767066108823
2025-07-06,2347.540821763382,1062.107940553657,3458.7861526018605
2025-07-07,2348.1319548571714,1067.7528744498945,3476.3471683090575
2025-07-08,2349.191633690484,1099.675382502507,3459.251802267753
2025-07-09,2350.9000347189126,1098.8102363387802,3476.0166226050005
2025-07-10,2352.9058464771547,1104.240888176794,3464.3054945126532
